pageid,fileNameAbsolut,fileNameRelative,fileLastModifiedTime,fileCreationTime,fileSizeInBytes,level,keywords,categories,description,categoriesList,section,sectionPathAbsoulte,sectionPathRelative,webadress,vorgelagerteSectionPage,nachgelagerteSectionPage,sectionIndex
07112020200718-Startseite,C:/DocTool/content/index.md,/index.md,Sat Nov  7 11:23:21 2020,Tue Nov  3 05:19:38 2020,329,0,"['index', ' welcome']","['index', ' welcome', ' nonDocu']",Hier die individuelle Beschreibung der Index-Seite aus dem Frontmatter,[],[],C:/DocTool/content/,/,https://jhc90.github.io/index.html,,07112020200718-About,https://jhc90.github.io/index.html
07112020200718-About,C:/DocTool/content/about.md,/about.md,Sat Nov  7 09:43:26 2020,Tue Nov  3 05:19:38 2020,1531,1,"['Roadmap', ' Motivation', ' Explaination']","['Roadmap', ' Motivation', ' Explaination']",Hier die Erklärung meiner Webseite,[],[],C:/DocTool/content/,/,https://jhc90.github.io/about.html,07112020200718-Startseite,,https://jhc90.github.io/index.html
07112020200718-MarkdownLanding,C:/DocTool/content/Docus/Auszeichnnungssprachen/Markdown/DestinationMarkDownCheatSheet.md,/Docus/Auszeichnnungssprachen/Markdown/DestinationMarkDownCheatSheet.md,Sat Nov  7 13:40:05 2020,Thu Nov  5 06:29:46 2020,12541,0,['Markdown'],[''],Diese Seite dient lediglich als Landingpage,"['Docus', 'Auszeichnnungssprachen', 'Markdown']",Markdown,C:/DocTool/content/Docus/Auszeichnnungssprachen/Markdown/,/Docus/Auszeichnnungssprachen/Markdown/,https://jhc90.github.io/Docus/Auszeichnnungssprachen/Markdown/DestinationMarkDownCheatSheet.html,,07112020200718-MarkdownLanding,https://jhc90.github.io/index.html
07112020200718-MarkdownLanding,C:/DocTool/content/Docus/Auszeichnnungssprachen/Markdown/MarkDownCheatSheet.md,/Docus/Auszeichnnungssprachen/Markdown/MarkDownCheatSheet.md,Sat Nov  7 13:40:00 2020,Thu Nov  5 06:29:46 2020,6198,1,['Markdown'],[''],Diese Seite dient lediglich als Landingpage,"['Docus', 'Auszeichnnungssprachen', 'Markdown']",Markdown,C:/DocTool/content/Docus/Auszeichnnungssprachen/Markdown/,/Docus/Auszeichnnungssprachen/Markdown/,https://jhc90.github.io/Docus/Auszeichnnungssprachen/Markdown/MarkDownCheatSheet.html,07112020200718-MarkdownLanding,,https://jhc90.github.io/index.html
0711202020-DS-Checkliste,C:/DocTool/content/Docus/DataScience/Checklist/Index-Checklist.md,/Docus/DataScience/Checklist/Index-Checklist.md,Sat Nov  7 11:23:55 2020,Wed Nov  4 17:38:30 2020,8000,0,"['Checklist', ' Landingpage']","['Data-Science', ' Checklist']",Hier eine detailierte Checkliste für DS-Projekte mit den entsprechenden Querverweisen zu meinen Notizen ,"['Docus', 'DataScience', 'Checklist']",Checklist,C:/DocTool/content/Docus/DataScience/Checklist/,/Docus/DataScience/Checklist/,https://jhc90.github.io/Docus/DataScience/Checklist/Index-Checklist.html,,,https://jhc90.github.io/index.html
07112020200718-BusinessObjectives,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/01_BusinessObejctives.md,/Docus/DataScience/Checklist/01-BigPicture/01_BusinessObejctives.md,Sat Nov  7 11:31:41 2020,Thu Nov  5 09:38:38 2020,771,0,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/01_BusinessObejctives.html,,07112020200718-Nutzung,https://jhc90.github.io/index.html
07112020200718-Nutzung,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/02_UseOfImplementation.md,/Docus/DataScience/Checklist/01-BigPicture/02_UseOfImplementation.md,Sat Nov  7 11:30:08 2020,Thu Nov  5 09:38:34 2020,884,1,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/02_UseOfImplementation.html,07112020200718-BusinessObjectives,07112020200718-CurrentSolutions,https://jhc90.github.io/index.html
07112020200718-CurrentSolutions,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/03_CurrentSolutions.md,/Docus/DataScience/Checklist/01-BigPicture/03_CurrentSolutions.md,Sat Nov  7 11:30:11 2020,Thu Nov  5 10:07:18 2020,399,2,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/03_CurrentSolutions.html,07112020200718-Nutzung,07112020200718-Detailed-DS-Framing,https://jhc90.github.io/index.html
07112020200718-Detailed-DS-Framing,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/04_ProbemFraming.md,/Docus/DataScience/Checklist/01-BigPicture/04_ProbemFraming.md,Sat Nov  7 11:30:15 2020,Thu Nov  5 10:07:45 2020,446,3,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/04_ProbemFraming.html,07112020200718-CurrentSolutions,07112020200718-PerformanceMeasure,https://jhc90.github.io/index.html
07112020200718-PerformanceMeasure,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/05_PerformanceMeasure.md,/Docus/DataScience/Checklist/01-BigPicture/05_PerformanceMeasure.md,Sat Nov  7 11:30:18 2020,Thu Nov  5 10:07:45 2020,486,4,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/05_PerformanceMeasure.html,07112020200718-Detailed-DS-Framing,07112020200718-PerformanceMeasureBusinessObjectives,https://jhc90.github.io/index.html
07112020200718-PerformanceMeasureBusinessObjectives,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.md,/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.md,Sat Nov  7 11:30:22 2020,Thu Nov  5 10:07:46 2020,486,5,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.html,07112020200718-PerformanceMeasure,07112020200718-MinmumPerformance,https://jhc90.github.io/index.html
07112020200718-MinmumPerformance,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.md,/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.md,Sat Nov  7 11:31:02 2020,Thu Nov  5 10:07:46 2020,379,6,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.html,07112020200718-PerformanceMeasureBusinessObjectives,07112020200718-ComparableProblems,https://jhc90.github.io/index.html
07112020200718-ComparableProblems,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.md,/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.md,Sat Nov  7 11:30:59 2020,Thu Nov  5 10:07:47 2020,515,7,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.html,07112020200718-MinmumPerformance,07112020200718-HumanExpertise,https://jhc90.github.io/index.html
07112020200718-HumanExpertise,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.md,/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.md,Sat Nov  7 11:30:55 2020,Thu Nov  5 10:07:47 2020,353,8,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.html,07112020200718-ComparableProblems,07112020200718-CurrentSolutions,https://jhc90.github.io/index.html
07112020200718-CurrentSolutions,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.md,/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.md,Sat Nov  7 11:30:51 2020,Thu Nov  5 10:07:48 2020,315,9,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.html,07112020200718-HumanExpertise,07112020200718-ListAssumptions,https://jhc90.github.io/index.html
